name,label
dataset\train\Banner\doanhnghiepvicongdong.jpg,0
dataset\train\Banner\Homestay-ok.jpg,0
dataset\train\Banner\hoptaccungphattrien.jpg,0
dataset\train\Banner\ngaymoisaigon_doanh_nhan_suc_khoe.jpg,0
dataset\train\Banner\ngaymoisaigon_le_ky_niem_3_nam.jpg,0
dataset\train\Banner\PhotoBanner 2_NMSG.jpg,0
dataset\train\Banner\PhotoBanner1 - Copy.jpg,0
dataset\train\Banner\PhotoBanner1.jpg,0
dataset\train\Banner\PhotoBanner2 - Copy.jpg,0
dataset\train\Banner\PhotoBanner2.jpg,0
dataset\train\Banner\StandeeIntercon.jpg,0
dataset\train\Banner\standeenewworld.jpg,0
dataset\train\Hoạt_Động_Quốc_Tế\bangkok 1.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\bangkok2Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\bejaya2Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\berjaya1Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\berjaya3Copy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\campuchia.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\catahypacific.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\cung_dai_dien_cac_nuoc_chau_A.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\DSC_5846okCopy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\hongkong.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\hongleonbank.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\img127.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\IMG_1559ok.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\IMG_1559okCopy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\khaosatCopy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\khinh_khi_cau_Dai_Loan.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\luotvan_dai_Loan.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\malaysia ok.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\malaysiaokCopy.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\P1000224.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\pataya.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\phuket.jpg,1
dataset\train\Hoạt_Động_Quốc_Tế\singapore.jpg,1
